項次編號,狀態,行政區,學校名稱,地址,電話,預定關閉時間,備註
37,未開設,中山區,中山國小,臺北市中山區民權東路一段69號,(02)87335715,,
38,未開設,中山區,中正國小,臺北市中山區龍江路62號,(02)87335715,,
39,未開設,中山區,長安國小,臺北市中山區吉林路15號,(02)87335715,,
40,未開設,中山區,大直國小,臺北市中山區大直街2號,(02)87335715,,
41,未開設,中山區,吉林國小,臺北市中山區長春路116號,(02)87335715,,
42,未開設,中山區,永安國小,臺北市中山區明水路397巷19弄1號,(02)87335715,,
43,未開設,中山區,濱江國小,臺北市中山區樂群二路266巷99號,(02)87335715,,
44,未開設,中山區,新興國中,臺北市中山區林森北路511號,(02)87335715,,
45,未開設,中山區,五常國中,臺北市中山區復興北路430巷1號,(02)87335715,,
46,未開設,中正區,螢橋國小,臺北市中正區詔安街29號,(02)87335713,,
47,未開設,中正區,忠義國小,臺北市中正區中華路二段307巷17號,(02)87335713,,
48,未開設,中正區,南門國小,臺北市中正區廣州街6號,(02)87335713,,
49,未開設,中正區,市大附小,臺北市中正區公園路29號,(02)87335713,,
50,未開設,中正區,螢橋國中,臺北市中正區汀州路三段4號,(02)87335713,,
51,未開設,中正區,弘道國中,臺北市中正區公園路21號,(02)87335713,,
52,未開設,中正區,東門國小,臺北市中正區仁愛路一段2之4號,(02)87335713,,
53,未開設,中正區,中正國中,臺北市中正區愛國東路158號,(02)87335713,,
54,未開設,內湖區,內湖國小,臺北市內湖區內湖路二段41號,(02)87335716,,
55,未開設,內湖區,碧湖國小,臺北市內湖區金龍路100號,(02)87335716,,
56,未開設,內湖區,東湖國小,臺北市內湖區東湖路115號,(02)87335716,,
57,未開設,內湖區,西湖國小,臺北市內湖區環山路一段25號,(02)87335716,,
58,未開設,內湖區,康寧國小,臺北市內湖區星雲街121號,(02)87335716,,
59,未開設,內湖區,明湖國小,臺北市內湖區康寧路三段105號,(02)87335716,,
60,未開設,內湖區,麗山國小,臺北市內湖區港華街100號,(02)87335716,,
61,未開設,內湖區,新湖國小,臺北市內湖區民權東路六段138號,(02)87335716,,
62,未開設,內湖區,大湖國小,臺北市內湖區大湖山莊街170號,(02)87335716,,
63,未開設,內湖區,麗湖國小,臺北市內湖區金湖路363巷8號,(02)87335716,,
64,未開設,內湖區,麗山高中,臺北市內湖區環山路二段100號,(02)87335716,,
65,未開設,內湖區,南湖高中,臺北市內湖區康寧路三段220號,(02)87335716,,
66,未開設,文山區,溪口國小,臺北市文山區景福街225號,(02)87335946,,
67,未開設,文山區,興隆國小,臺北市文山區福興路2號,(02)87335946,,
68,未開設,文山區,景興國小,臺北市文山區景華街150巷21號,(02)87335946,,
69,未開設,文山區,木柵國小,臺北市文山區木柵路三段191號,(02)87335946,,
70,未開設,文山區,實踐國小,臺北市文山區忠順街一段4號,(02)87335946,,
71,未開設,文山區,明道國小,臺北市文山區木柵路二段138巷61號,(02)87335946,,
72,未開設,文山區,萬芳國小,臺北市文山區萬和街1號,(02)87335946,,
73,未開設,文山區,力行國小,臺北市文山區木新路三段155巷7號,(02)87335946,,
74,未開設,文山區,萬興國小,臺北市文山區秀明路二段114號,(02)87335946,,
75,未開設,文山區,萬福國小,臺北市文山區羅斯福路五段170巷32號,(02)87335946,,
76,未開設,文山區,興華國小,臺北市文山區興隆路三段125巷6號,(02)87335946,,
77,未開設,文山區,景興國中,臺北市文山區景興路46巷2號,(02)87335946,,
78,未開設,文山區,木柵高工,臺北市文山區木柵路四段七十七號,(02)87335946,,
79,未開設,北投區,北投國小,臺北市北投區中央北路一段73號,(02)87335715,,
80,未開設,北投區,逸仙國小,臺北市北投區新民路2號,(02)87335715,,
81,未開設,北投區,石牌國小,臺北市北投區致遠二路80號,(02)87335715,,
82,未開設,北投區,關渡國小,臺北市北投區中央北路四段581號,(02)87335715,,
83,未開設,北投區,清江國小,臺北市北投區公舘路220號,(02)87335715,,
84,未開設,北投區,桃源國小,臺北市北投區中央北路三段40巷45號,(02)87335715,,
85,未開設,北投區,文林國小,臺北市北投區文林北路155號,(02)87335715,,
86,未開設,北投區,立農國小,臺北市北投區立農街一段250號,(02)87335715,,
87,未開設,北投區,明德國小,臺北市北投區明德路190號,(02)87335715,,
88,未開設,北投區,新民國中,臺北市北投區新民路10號,(02)87335715,,
89,未開設,北投區,明德國中,臺北市北投區明德路50號,(02)87335715,,
90,未開設,北投區,桃源國中,臺北市北投區中央北路四段48號,(02)87335715,,
91,未開設,北投區,石牌國中,臺北市北投區石牌路一段139號,(02)87335715,,
92,未開設,北投區,關渡國中,臺北市北投區知行路212號,(02)87335715,,
93,未開設,北投區,復興高中,臺北市北投區復興四路70號,(02)87335715,,
94,未開設,松山區,松山國小,臺北市松山區八德路四段746號,(02)87335716,,
95,未開設,松山區,民生國小,臺北市松山區敦化北路199巷18號,(02)87335716,,
96,未開設,松山區,民權國小,臺北市松山區民權東路四段200號,(02)87335716,,
97,未開設,松山區,三民國小,臺北市松山區民權東路五段1號,(02)87335716,,
98,未開設,松山區,健康國小,臺北市松山區延壽街168號,(02)87335716,,
99,未開設,松山區,敦化國中,臺北市松山區南京東路三段300號,(02)87335716,,
100,未開設,松山區,中崙高中,臺北市松山區八德路四段101號,(02)87335716,,
101,未開設,松山區,民族國小,臺北市松山區民生東路四段97巷7號,(02)87335716,,
102,未開設,信義區,光復國小,臺北市信義區光復南路271號,(02)87335946,,
103,未開設,信義區,三興國小,臺北市信義區基隆路二段99號,(02)87335946,,
104,未開設,信義區,信義國小,臺北市信義區松勤街60號,(02)87335946,,
105,未開設,信義區,吳興國小,臺北市信義區松仁路226號,(02)87335946,,
106,未開設,信義區,信義國中,臺北市信義區松仁路158巷1號,(02)87335946,,
107,未開設,信義區,興雅國小,臺北市信義區基隆路一段83巷9號,(02)87335946,,
108,未開設,信義區,福德國小,臺北市信義區福德街253號,(02)87335946,,
109,未開設,信義區,博愛國小,臺北市信義區松仁路95巷20號,(02)87335946,,
110,未開設,信義區,興雅國中,臺北市信義區松德路168巷15號,(02)87335946,,
111,未開設,信義區,松山家商,臺北市信義區松山路655號,(02)87335946,,
112,未開設,南港區,南港國小,臺北市南港區惠民街67號,(02)87335716,,
113,未開設,南港區,成德國小,臺北市南港區東新街65號,(02)87335716,,
114,未開設,南港區,修德國小,臺北市南港區東新街118巷86號,(02)87335716,,
115,未開設,南港區,成德國中,臺北市南港區東新街108巷23號,(02)87335716,,
116,未開設,南港區,南港高中,臺北市南港區向陽路21號,(02)87335716,,
117,未開設,南港區,育成高中,臺北市南港區重陽路366號,(02)87335716,,
118,未開設,萬華區,新和國小,臺北市萬華區西藏路125巷31號,(02)87335713,,
119,未開設,萬華區,雙園國小,臺北市萬華區莒光路315號,(02)87335713,,
120,未開設,萬華區,東園國小,臺北市萬華區東園街195號,(02)87335713,,
121,未開設,萬華區,西門國小,臺北市萬華區成都路98號,(02)87335713,,
122,未開設,萬華區,老松國小,臺北市萬華區桂林路64號,(02)87335713,,
123,未開設,萬華區,雙園國中,臺北市萬華區興義街2號,(02)87335713,,
124,未開設,萬華區,龍山國小,臺北市萬華區和平西路三段235號,(02)87335713,,
