serialnumber,provide_contain,provide_shelter,provide_goods,no,countycode,name,district,areacode,village,address,floor,service_village,contact_person,contact_cellphone,suit_for_weak,person,floorspacebuildingothers,floorspacebuildingfactory,suit_for_flood,suit_for_mudflow,suit_for_eqrthquake,suit_for_tsunami,standing_shelter,longitude,latitude
11,是,是,否,SF220-0012,65000,中山國小,板橋區,65000010,中山里,新北市板橋區中山里大觀路二段59巷31號,中山樓三樓逸辿館、幼兒園-時習樓1樓,中山里、大安里、復興里、聚安里、龍安里、福安里,江乃文(組長),919847963.0,否,386.0,1545,0.0,是,否,是,否,否,121.446165,24.99928
12,是,是,否,SF220-0013,65000,沙崙國小,板橋區,65000010,溪北里,新北市板橋區溪北里篤行路二段132號,"永傳社教中心一樓,低年級圖書室,韻律教室",溪北里、崑崙里、成和里、堂春里、溪福里、溪洲里 ,賴正彰(組長),918533220.0,是,1692.0,1335,10872.0,否,否,是,否,否,121.430535,24.989747
13,是,是,否,SF220-0014,65000,溪洲國小,板橋區,65000010,堂春里,新北市板橋區堂春里金門街289號,活動中心1、2樓綜合球場、視聽教室119教室-欣藝樓1、2樓,溪洲里、溪福里、堂春里,陳俊維(組長),910156264.0,否,1492.0,2970,6000.0,否,是,是,是,否,121.431114,24.987875
14,是,是,否,SF220-0015,65000,重慶國小,板橋區,65000010,五權里,新北市板橋區五權里廣和街31號,體育館2至4樓,五權里、廣福里、和平里、重慶里,方素英(組長),912882369.0,是,788.0,1934,2445.0,是,是,否,是,否,121.462423,24.994453
15,是,是,否,SF220-0017,65000,大觀國小,板橋區,65000010,浮洲里,新北市板橋區浮洲里大觀路一段30號,B2活動中心,湳興里、浮洲里、華中里、僑中里、大觀里、歡園里,黃宗光(組長),922110606.0,是,1392.0,3723,3703.0,是,否,是,否,否,121.44935,25.00861
16,是,是,否,SF220-0018,65000,莒光國小,板橋區,65000010,華翠里,新北市板橋區華翠里莒光路163號,綜合大樓1樓、地下室媽媽教室、桑梓樓1樓137教室                           ,華江里、華翠里、莒光里、忠翠里、港嘴里、永安里,蔡宗廷(組長),987073953.0,否,297.0,445,1490.0,是,否,是,否,否,121.474229,25.025183
17,是,是,否,SF220-0019,65000,國光國小,板橋區,65000010,香社里,新北市板橋區香社里中正路325巷30號,2樓禮堂(活動中心)、1樓圖書館、2樓圖書館   ,社後里、香社里、香雅里、中正里、自立里、光榮里、國光里、港尾里、港德里,陳瑋鴻(組長),921933566.0,是,1045.0,1700,4960.0,是,否,是,否,否,121.45302,25.019164
18,是,是,否,SF220-0020,65000,板橋國中,板橋區,65000010,中正里,新北市板橋區中正里中正路437號,多功能體育館1樓、德馨樓1樓(童軍教室、生活科技教室),新生里、社後里、香社里、香雅里、中正里、自立里、自強里、光華里、建國里、光榮里、國光里、港尾里、金華里、港德里、民權里,盧香如(組長),912261972.0,否,1628.0,1512,10000.0,是,是,是,否,否,121.454159,25.024001
19,是,是,否,SF220-0021,65000,忠孝國中,板橋區,65000010,福星里,新北市板橋區福星里重慶路168號,活動中心-向陽樓二三樓、智慧教室-望德樓1樓,華貴里、華興里、華福里、景星里、留侯里、流芳里、赤松里、黃石里、挹秀里、湳興里、新興里,杜春蘭(組長),922941457.0,是,340.0,869,986.0,是,是,是,是,否,121.461939,25.004557
20,是,是,否,SF220-0022,65000,新埔國中,板橋區,65000010,新海里,新北市板橋區新海里新海路181號,體育館、多功能藝文中心-忠孝樓3樓,新生里、金華里、港德里、公館里、幸福里、文德里、陽明里、新埔里、宏翠里、仁翠里、新翠里、朝陽里、吉翠里、滿翠里、明翠里、德翠里、新海里,蔡東燕(組長),938926021.0,是,1011.0,1781,4529.52,是,否,是,否,否,121.459652,25.024897
21,是,是,否,SF220-0023,65000,中山國中,板橋區,65000010,新民里,新北市板橋區新民里文化路1段188巷56號,朝陽館-活動中心、3F視聽中心、3樓會議室,民權里、民安里、新民里、漢生里、公館里、忠誠里、介壽里、百壽里、華江里、玉光里、光仁里、廣新里、埤墘里、莊敬里、雙玉里、香丘里、西安里,鄭琬齡(組長),917271172.0,是,2280.0,4623,9000.0,否,是,是,是,否,121.464294,25.017677
22,是,是,否,SF220-0024,65000,江翠國中,板橋區,65000010,文化里,新北市板橋區文化里松江街63號,學生活動中心2樓、圖書館,明翠里、宏翠里、滿翠里、朝陽里、吉翠里、仁翠里、江翠里、純翠里、溪頭里、聯翠里、文化里、華江里、松翠里、柏翠里、龍翠里、華翠里、莒光里、忠翠里、松柏里、嵐翠里、文聖里、懷翠里、文翠里、青翠里、埤墘里、莊敬里、永安里,賴建男(組長),926741523.0,是,892.0,1570,4000.0,是,是,是,是,否,121.467616,25.029503
23,是,否,否,SF220-0025,65000,光復高中,板橋區,65000010,富貴里,新北市板橋區富貴里光環路1段7號,化育樓地下室禮堂、春耕樓5樓展覽室、春耕樓5樓展演教室               ,龍翠里、港嘴里、振義里、振興里、光復里、埔墘里、富貴里、長壽里、居仁里、福壽里、福翠里、九如里、正泰里、雙玉里,張瑋育(組長),981175739.0,否,310.0,882,720.0,否,是,否,否,否,121.48138,25.016994
24,是,是,否,SF220-0026,65000,溪崑國中,板橋區,65000010,崑崙里,新北市板橋區崑崙里大觀路三段50巷30號,活動中心2樓、多功能教室1樓      ,崑崙里、成和里、溪北里、溪洲里、溪福里、堂春里,紀虹如(總務主任),932348492.0,是,728.0,891,4050.0,是,否,是,否,否,121.431271,24.998417
25,是,是,否,SF220-0027,65000,重慶國中,板橋區,65000010,重慶里,新北市板橋區重慶里國慶路221號,活動中心3樓、教師會辦公室,鄉雲里、廣德里、大豐里、仁愛里、重慶里、和平里、廣福里、五權里、華德里、信義里、華東里,陳冠樺(組長),939971093.0,否,502.0,797,2427.0,是,是,是,是,否,121.463157,24.998189
26,是,是,否,SF220-0028,65000,海山高中,板橋區,65000010,深丘里,新北市板橋區深丘里漢生東路215號,活動中心1、2樓、寰宇大樓地下室、圖書館地下室,海山里、九如里、正泰里、雙玉里、深丘里、香丘里、長安里、東安里、東丘里、民生里、福丘里、福祿里、民族里、國泰里、福壽里,鄭麗蘭(主任),937254927.0,否,2122.0,8085,812.0,是,否,是,否,否,121.470886,25.010154
27,是,是,否,SF220-0029,65000,大觀國中,板橋區,65000010,浮洲里,新北市板橋區浮洲里僑中一街1號,活力樓地下室、活力樓5樓,湳興里、浮洲里、華中里、僑中里、大觀里、歡園里、大安里、福安里、聚安里、龍安里、中山里、復興里,陳保莉(組長),920255060.0,是,869.0,740,5472.0,是,是,是,是,否,121.448524,25.011251
28,是,是,是,SF220-0030,65000,板橋高中,板橋區,65000010,黃石里,新北市板橋區黃石里文化路一段25號,莊敬堂1樓、行政樓3樓、地下室1樓                                         ,留侯里、流芳里、赤松里、黃石里、挹秀里、湳興里、社後里、金華里、自強里、光華里、建國里、光榮里、民權里、民安里、漢生里,王素昭(組長),926682022.0,否,563.0,1506,1500.0,是,是,是,是,是,121.4591,25.011684
29,是,是,否,SF220-0031,65000,板橋第一運動公園,板橋區,65000010,深丘里,新北市板橋區深丘里漢生東路278號,1樓,海山里、九如里、正泰里、雙玉里、深丘里、香丘里、長安里、東安里、東丘里、民生里、福丘里、福祿里、民族里、國泰里,李宸宇,921617960.0,是,1630.0,0,13040.0,否,否,是,否,否,121.469292,25.010591
30,是,是,否,SF220-0032,65000,板橋第二運動公園,板橋區,65000010,社後里,新北市板橋區社後里民權路117號,1樓,港德里、社後里、國光里、建國里、民權里、民安里、自強里、光榮里、自立里、香社里,李宸宇,921617960.0,是,1120.0,0,8960.0,否,否,是,否,否,121.458337,25.013819
31,是,是,否,SF220-0033,65000,浮洲運動公園,板橋區,65000010,浮洲里,新北市板橋區浮洲里僑中一街124巷與80巷交會處,1樓,湳興里、浮洲里、華中里、僑中里、大觀里、歡園里、大安里、福安里、聚安里、龍安里、中山里、復興里,李宸宇,921617960.0,是,935.0,0,7480.0,否,否,是,否,否,,
32,是,是,否,SF220-0034,65000,新埔國小,板橋區,65000010,新翠里,新北市板橋區新翠里陽明街206號,新埔樓地下室、新自強樓地下室,新翠里、明翠里、陽明里、忠誠里、文德里、幸福里、德翠里、新海里、朝陽里,陳雲蘭(組長),928022350.0,是,1657.0,4729,3803.0,是,是,是,是,否,121.463252,25.026602
33,是,是,否,SF220-0035,65000,海山國小,板橋區,65000010,深丘里,新北市板橋區深丘里漢生東路280號 ,體育館─日暄樓5樓、會議室-日暄樓1樓、霽月樓5F視聽教室(舞台及其下方平台)、日暄樓1F音樂教室、霽月樓519教室,深丘里、海山里、東安里、長安里、香丘里、福丘里、後埔里、國泰里、福祿里、民族里,翁維聰(組長),925166756.0,是,258.0,645,780.0,是,是,是,是,否,121.470863,25.009457
34,是,是,否,SF220-0037,65000,國光市民活動中心,板橋區,65000010,國光里,新北市板橋區國光里國光路76號1樓,活動中心1樓,建國里、國光里、公館里、漢生里、民權里、社後里、港德里,林麗蘋(管理員),955818505.0,否,95.0,381,0.0,是,是,是,是,否,121.46139,25.018497
35,是,是,否,SF220-0038,65000,四維公園市民活動中心,板橋區,65000010,陽明里,新北市板橋區陽明里陽明街166號1樓,活動中心1樓,新翠里、明翠里、陽明里、忠誠里、文德里、幸福里、德翠里、新海里、朝陽里,黃胡亮(管理員),919297412.0,否,74.0,298,0.0,是,是,是,是,否,121.464714,25.023647
36,是,是,否,SF220-0039,65000,音樂公園市民活動中心,板橋區,65000010,福翠里,新北市板橋區福翠里懷德街235巷2號2樓,活動中心2樓,福翠里、港嘴里、龍翠里、文聖里、懷翠里,陳曉青(管理員),920127284.0,否,101.0,404,0.0,是,是,是,是,否,121.480956,25.029121
37,是,是,否,SF220-0040,65000,南雅公園市民活動中心,板橋區,65000010,華興里,新北市板橋區華興里南雅南路2段1-1號1樓,活動中心1樓,華興里、華福里、新興里、湳興里、華貴里、華東里、鄉雲里,張秋梅(管理員),911201668.0,否,85.0,341,0.0,是,是,是,是,否,121.45756,25.003916
38,是,是,否,SF220-0041,65000,五權公園市民活動中心,板橋區,65000010,五權里,新北市板橋區五權里廣權路130號1樓,活動中心1樓,五權里、廣福里、和平里、重慶里、信義里,蔡水民(管理員),925731200.0,否,145.0,582,0.0,是,是,是,是,否,121.465645,24.992993
39,是,是,否,SF220-0042,65000,溪洲公園市民活動中心,板橋區,65000010,溪洲里,新北市板橋區溪洲里溪崑二街113號1樓,活動中心1樓,溪洲里、溪福里、堂春里、溪北里,吳俊昌(管理員),932123520.0,否,94.0,378,0.0,是,是,是,是,否,121.426612,24.988475
40,是,是,否,SF220-0043,65000,新興市民活動中心,板橋區,65000010,新興里,新北市板橋區新興里中興路63號2樓,活動中心2樓,新興里、華興里、挹秀里、黃石里、自強里、湳興里、浮洲里、中山里、華東里、華貴里、福丘里、自強里、社後里、留侯里、赤松里、流芳里、光華里、光榮里、華東里、鄉雲里、華福里,林麗蘋(管理員),955818505.0,否,122.0,491,0.0,是,是,是,是,否,121.455449,25.007754
41,是,是,是,SF220-0044,65000,和平公園市民活動中心,板橋區,65000010,廣德里,新北市板橋區重慶路355號2樓,活動中心2樓,廣德里、和平里、重慶里、廣福里、五權里、大豐里、仁愛里、福德里、福星里、國泰里、後埔里、景星里、信義里,游傃惠(管理員),906769141.0,是,144.0,578,0.0,是,是,是,是,是,121.464812,24.997808
42,是,是,是,SF241-0002,65000,厚德國小體操館地下室大禮堂,三重區,65000020,立德里,新北市三重區立德里自強路2段93號B1,禮堂B1,立德里、六合里、厚德里、永德里、維德里,總務主任蘇育呈,910882858.0,否,100.0,400,0.0,否,是,是,是,否,121.48383,25.069656
43,是,是,否,SF241-0003,65000,永盛市民活動中心,三重區,65000020,永盛里,新北市三重區永盛里車路頭街133號,活動中心1樓,永盛里、永福里、永清里、永安里、溪美里、福隆里、慈福里、慈生里、慈惠里、慈愛里、福樂里、仁華里、永順里、永豐里、永吉里,李書瑛,987075118.0,是,100.0,400,0.0,是,是,是,是,是,121.484839,25.075732
44,是,是,否,SF241-0004,65000,六張市民活動中心,三重區,65000020,福安里,新北市三重區福安里六張街66號,活動中心1樓,福安里、正安里、自強里、雙園里、三安里、信安里、安慶里、尚德里,李書瑛,987075118.0,是,100.0,400,0.0,是,是,是,是,否,121.493807,25.070154
45,是,是,否,SF241-0005,65000,和平市民活動中心,三重區,65000020,立德里,新北市三重區立德里自強路2段90號,活動中心1樓2樓及B1,立德里、六合里、厚德里、培德里、永德里、永煇里　　,李書瑛,987075118.0,是,100.0,400,0.0,是,是,是,是,是,121.48383,25.069656
46,是,是,否,SF241-0006,65000,菜寮市民活動中心,三重區,65000020,菜寮里,新北市三重區菜寮里中寮街57巷18號,活動中心1樓,菜寮里、過田里、永春里、中正里、吉利里、大同里、中民里、平和里、大安里、仁德里、忠孝里、仁義里、光輝里、福利里　,李書瑛,987075118.0,是,100.0,400,0.0,是,是,是,是,否,121.492768,25.057794
47,是,是,否,SF241-0007,65000,正義市民活動中心,三重區,65000020,雙園里,新北市三重區雙園里雙園街1號,活動中心1樓,雙園里、永興里、重新里、正德里、正義里、正安里、自強里、文化里、中央里、錦通里、錦安里、長安里、光華里、長生里、開元里、大德里、長元里、長江里、三安里、福安里、信安里、安慶里,李書瑛,987075118.0,是,100.0,400,0.0,否,是,是,是,否,121.496414,25.067255
48,是,是,否,SF241-0008,65000,過圳市民活動中心,三重區,65000020,過田里,新北市三重區過田里過圳街19號,活動中心1樓,過田里、福祉里、錦田里、重明里、光田里、光陽里、光明里、重陽里,李書瑛,987075118.0,是,50.0,200,0.0,否,是,是,是,是,121.48815,25.060112
49,是,是,否,SF241-0009,65000,碧華國小,三重區,65000020,富福里,新北市三重區富福里五華街160號,活動中心3樓、活動中心2樓、活動中心1樓、室外--操場,富福里、五常里、仁忠里、慈惠里、慈化里、慈祐里、富貴里、碧華里、仁華里、五順里　,總務主任許文華,919124536.0,是,1875.0,2500,10000.0,是,是,是,是,否,121.49468,25.085028
50,是,是,否,SF241-0010,65000,重陽國小,三重區,65000020,六福里,新北市三重區六福里中正北路113號,藝文中心-善德樓4樓、重陽樓-地下室、圖書館-欣學樓2樓、室外--操場,六福里、田中里、三民里、幸福里、培德里　,總務主任邱鈺淇,920095691.0,是,608.0,832,3200.0,是,是,是,是,否,121.484505,25.066307
51,是,是,否,SF241-0011,65000,興穀國小,三重區,65000020,五谷里,新北市三重區五谷里神農街101號,禮堂-圓夢樓5樓、室內球場-興穀樓4樓、室外--中庭,五谷里、頂崁里、谷王里、中興里、德厚里,總務主任黃書卿,920120531.0,是,205.0,474,688.0,是,是,是,是,否,121.474268,25.050579
52,是,是,否,SF241-0012,65000,光興國小,三重區,65000020,光輝里,新北市三重區光輝里正義南路62號,活動中心2樓、活動中心3F、室外--操場,光輝里、同慶里、中民里、平和里、大安里、仁德里、光榮里、福星里、福利里、清和里、永興里、文化里、錦通里、光華里、大德里、忠孝里、仁義里,總務主任盧怡君,919574580.0,否,1533.0,1909,8450.0,是,是,是,是,否,121.498936,25.058805
53,是,是,否,SF241-0013,65000,三重國小,三重區,65000020,奕壽里,新北市三重區奕壽里三和路三段1號,重光樓地下室、崇德樓地下室、室外--運動場,奕壽里、錦安里、長安里、長生里、開元里、長元里、長江里、長泰里、長福里、介壽里、萬壽里、錦江里、龍濱里、龍門里、秀江里、三安里、福安里、順德里、承德里、瑞德里、崇德里、尚德里、中央里,總務主任季信豪,932006462.0,是,2009.0,4783,6500.0,是,是,是,是,否,121.497293,25.070412
54,是,是,否,SF241-0014,65000,五華國小,三重區,65000020,富貴里,新北市三重區富貴里集賢路89號,綜合教室-六藝樓5樓、桌球教室-三民樓地下室、多功能教室-六藝樓4樓、室外--操場,富貴里、五福里、五華里、富華里、富福里、碧華里,總務主任林正祥,939441233.0,是,1536.0,643,10996.0,是,是,是,是,否,121.493449,25.086714
55,是,是,否,SF241-0015,65000,三光國小,三重區,65000020,同安里,新北市三重區同安里大同南路157號,摘星樓五樓R509綜合教室、摘星樓五樓R504韻律教室、日光樓一樓幼兒休息室、室外--操場,同安里、成功里、福民里、光正里、同慶里、永春里、中正里、吉利里、大同里、中民里、平和里、大安里、仁德里、忠孝里、仁義里、光榮里、光輝里、福星里、福利里、清和里、福德里,總務主任林寬政,939567343.0,是,1503.0,470,11080.0,是,是,是,是,否,121.496746,25.056154
56,是,是,否,SF241-0016,65000,修德國小,三重區,65000020,重陽里,新北市三重區重陽里重陽路三段3號,活動中心1樓、夢想樓地下1樓、室外--操場,重陽里、錦田里、三民里、中山里、大園里、國隆里、民生里、正德里、正義里、幸福里　　　,總務主任侯懿真,935020765.0,是,1201.0,3050,3500.0,是,是,是,是,否,121.488903,25.066233
57,是,是,否,SF241-0017,65000,光榮國小,三重區,65000020,奕壽里,新北市三重區介壽路32號,多功能教室-光榮樓3樓、風雨球場,奕壽里、長泰里、長福里、萬壽里、錦江里、龍濱里、介壽里、龍門里、秀江里、順德里、承德里、瑞德里、崇德里,總務主任吳錫昌,936348083.0,是,387.0,200,2695.0,是,是,是,是,否,121.499651,25.070128
58,是,是,否,SF241-0018,65000,厚德國小,三重區,65000020,立德里,新北市三重區立德里忠孝路一段70號,向善樓五樓大禮堂、忠孝樓地下室、室外--操場,立德里、信安里、六合里、厚德里、維德里、尚德里,總務主任蘇育呈,910882858.0,是,850.0,900,5000.0,否,是,是,是,否,121.48873,25.071822
59,是,是,否,SF241-0019,65000,集美國小,三重區,65000020,光明里,新北市三重區光明里集美街10號,大舞台教室、小舞蹈教室、室外--綜合球場,光明里、成功里、福祉里、福民里、過田里、重明里、光田里、光陽里、光正里、同安里、菜寮里、福德里　,總務主任陳冠宇,915990188.0,是,163.0,400,500.0,否,是,是,是,否,121.48948,25.058376
60,是,是,否,SF241-0020,65000,二重國小,三重區,65000020,二重里,新北市三重區二重里大有街10號,活動中心1樓、活動中心3樓、活動中心地下室、室外--外操場,二重里、大有里、田心里、福田里、田安里、博愛里、永發里,總務主任王意惠,983484677.0,是,1382.0,3990,3072.0,是,是,是,是,否,121.47797,25.065198
61,是,是,否,SF241-0021,65000,正義國小,三重區,65000020,正義里,新北市三重區正義里信義西街31號,地下室-星光樓地下室、視聽教室-旭日樓4樓、科任教室-星光樓五樓及曉月樓四樓、室外--操場,正義里、光榮里、福星里、清和里、永興里、中山里、大園里、國隆里、民生里、重新里、正德里、正安里、自強里、文化里、中央里、雙園里、錦通里、錦安里、長安里、光華里、長生里、開元里、長元里、長江里、大德里、安慶里,總務主任鹿秉年,933239723.0,是,738.0,1050,3800.0,是,是,是,是,否,121.496116,25.064444
62,是,是,否,SF241-0022,65000,永福國小,三重區,65000020,永福里,新北市三重區永福里永福街66號,多功能教室-未來樓5樓、韻律教室-未來樓3樓、音樂教室-未來樓2樓、室外--操場,永福里、永清里、永安里、慈福里、慈生里、慈愛里、永吉里、永順里、永豐里、福樂里、仁華里,總務主任鄭博元,911963987.0,是,707.0,626,4402.0,否,是,是,是,否,121.480638,25.077007
63,是,是,否,SF241-0023,65000,三和國中,三重區,65000020,永盛里,新北市三重區永盛里三和路四段216號,自強樓5樓羽球館、和樂樓B1桌球室、室外--操場,永盛里、永福里、永清里、永安里、溪美里、福隆里、五常里、慈福里、慈生里、慈惠里、慈愛里、永吉里、永順里、永豐里、福樂里、五順里,總務主任徐淑芳,920667546.0,是,1155.0,1223,6788.0,是,是,是,是,否,121.486502,25.076579
64,是,是,否,SF241-0024,65000,二重國中,三重區,65000020,福田里,新北市三重區福田里忠孝路三段89號,多功能教室-後棟2樓、教室-教學大樓5樓、室外--操場,福田里、大有里、二重里、田心里、田中里、田安里、六福里、博愛里、永發里　,總務主任張金漢,922358651.0,否,294.0,441,1474.0,是,是,是,是,否,121.480479,25.065712
65,是,是,否,SF241-0025,65000,光榮國中,三重區,65000020,奕壽里,新北市三重區奕壽里介壽路26號,活動中心籃球場、活動中心-地下室、室外--風雨操場,奕壽里、長泰里、長福里、介壽里、萬壽里、錦江里、龍濱里、龍門里、秀江里、順德里、承德里、瑞德里、崇德里,總務主任梁育菱,987256291.0,否,802.0,2799,817.0,是,是,是,是,否,121.499921,25.070456
66,是,是,否,SF241-0026,65000,明志國中,三重區,65000020,重陽里,新北市三重區重陽里中正北路107號,行政大樓3樓會議室、勵志樓2樓桌球教室、室外--操場,重陽里、錦田里、三民里、中山里、大園里、國隆里、民生里、重新里、幸福里　,總務主任陳欣萍,926349338.0,否,151.0,350,500.0,是,是,是,是,否,121.489059,25.063478
67,是,是,否,SF241-0027,65000,格致中學,三重區,65000020,永德里,新北市三重區永德里大智街260號,活動中心一樓、人文教室、室外--操場,永德里、維德里、永盛里、永煇里,學務主任陳耀郎,937392137.0,是,129.0,517,0.0,否,是,是,是,否,121.488727,25.073839
68,是,是,否,SF241-0028,65000,三重商工,三重區,65000020,培德里,新北市三重區培德里中正北路163號,活動中心、體育館、資訊樓地下室、室外--操場、籃球場、田徑場及網球場,培德里、福田里、田中里、六福里、永發里,總務主任謝孟芳,911981250.0,是,3123.0,8296,8389.0,否,是,是,是,否,121.480073,25.069648
69,是,是,否,SF241-0029,65000,穀保家商,三重區,65000020,大有里,新北市三重區大有里中正北路560巷38號,修業樓、進德樓、室外--操場,大有里,總務主任黃玉芬,937032708.0,是,2420.0,3629,12105.0,是,是,是,是,否,121.471146,25.06971
70,是,是,否,SF241-0030,65000,新北高中,三重區,65000020,富貴里,新北市三重區富貴里三信路1號,綜合體育館4樓、至善樓1樓教室、室外--大戶外草坪,富貴里、五福里、仁忠里、慈化里、慈祐里、五華里、富華里、富福里、碧華里、五順里、五常里　,總務主任楊金川,918284210.0,是,276.0,850,500.0,是,是,是,是,否,121.489287,25.087173
71,是,是,否,SF241-0031,65000,金陵女中,三重區,65000020,中興里,新北市三重區中興里重新路五段656號,厚生樓1樓體育館、慈愛堂1樓、室外--操場,中興里、頂崁里、谷王里、德厚里、五谷里,總務主任徐逸鈞,982667026.0,是,827.0,1055,4500.0,是,是,是,是,否,121.4664,25.042508
72,是,是,否,SF241-0032,65000,東海高中,三重區,65000020,二重里,新北市三重區二重里忠孝路三段93巷12號,A棟6樓、A棟5樓、B棟4樓、室外--籃球場,二重里、光陽里、田心里、田安里、博愛里,學務主任高麗娜,921999426.0,是,409.0,1122,1026.0,是,是,是,是,否,121.478958,25.064782
73,是,是,否,SF241-0033,65000,三重高中,三重區,65000020,光明里,新北市三重區光明里集美街212號,行健館、家政教室─工藝大樓1樓、室外--風雨操場,光明里、成功里、福祉里、福民里、重明里、光田里、光正里、同安里、同慶里、菜寮里、永春里、中正里、吉利里、永煇里、福德里　,總務主任葉志強,933747666.0,是,552.0,1800,812.0,否,是,是,是,否,121.48948,25.058376
74,是,是,否,SF241-0034,65000,綜合運動場(防災公園),三重區,65000020,錦田里,新北市三重區錦田里中正北路特2號,三重區綜合運動場,錦田里、大有里、博愛里、福田里、田中里、三民里、過田里、二重里、田心里、田安里、光田里、光陽里、重明里、福祉里、福德里、福民里、成功里、頂崁里、谷王里、德厚里、五谷里、中興里,李書瑛,987075118.0,是,2040.0,0,16320.0,否,是,是,是,否,121.49265,25.060581
75,是,是,否,SF241-0035,65000,碧華國中,三重區,65000020,富貴里,新北市三重區富貴里三信路166號,活動中心1樓、會議室-行政大樓2樓、室外--操場,富貴里、富華里、富福里、碧華里、五華里、慈祐里、慈化里、五福里、仁忠里、五順里、五常里,總務主任黃何歲,932233805.0,是,924.0,1176,5037.0,是,是,是,是,否,121.489048,25.087232
76,是,是,否,SF241-0036,65000,清傳高商,三重區,65000020,谷王里,新北市三重區谷王里五谷王北街141巷1號,禮堂-教學4樓、情境教室、分組教室、室外--操場,谷王里、頂崁里、中興里、德厚里、五谷里,總務主任林夙殷,937032708.0,否,1275.0,366,9467.0,是,是,是,是,否,121.476407,25.053758
