收容所編號,名稱,縣市,鄉鎮,村里,門牌地址,類型,水災,震災,土石流,海嘯,救濟支站,無障礙設施,室內,室外,服務里別,容納人數,收容所面積（平方公尺）,聯絡人姓名,聯絡人連絡電話,管理人姓名,管理人連絡電話,備考,完整地址
SA100-0026,臺北市立圖書館城中分館,臺北市,中正區,幸市里,臺北市中正區濟南路二段46號3樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,30,120,分館主任：廖美宏,02-23938274,分館主任：廖美宏,02-23938274,,臺北市中正區濟南路二段46號3樓
SA103-0001,臺北市大同區延平國小,臺北市,大同區,國慶里,昌吉街97號,學校,Y,備用,N,N,Y,Y,Y,N,國順里、鄰江里、國慶里、隆和里、隆和里,88,352,劉郁芬,02-25942439#630,陳清義,02-25942439#666,,臺北市大同區國慶里昌吉街97號
SA103-0002,臺北市立重慶國民中學,臺北市,大同區,重慶里,敦煌路19號,學校,Y,備用,N,N,Y,Y,Y,N,重慶里、保安里、老師里,50,189,黃順盈,02-25948631#240,林淑君,02-25948631#210,,臺北市大同區重慶里敦煌路19號
SA103-0003,臺北市立忠孝國民中學,臺北市,大同區,玉泉里,西寧北路32號,學校,N,Y,N,N,Y,Y,Y,N,延平里、永樂里、玉泉里、朝陽里、大有里,131,525,江長山,02-25524890#71,郭姿秀,02-25524890#11,,臺北市大同區玉泉里西寧北路32號
SA103-0004,臺北市立建成國民中學,臺北市,大同區,建泰里,長安西路37之1號,學校,Y,Y,N,N,Y,Y,Y,N,建功里、建明里、建泰里、星明里,119,476,鄭惠文,02-25587042#650,潘姿伶,02-25587042#601,,臺北市大同區建泰里長安西路37之1號
SA103-0005,玉泉公園,臺北市,大同區,玉泉里,西寜北路28號,公園/綠地,N,Y,N,N,N,Y,N,Y,全區,1993,7972,謝榮倫,02-25850192,楊國瑜,02-25850192#201,,臺北市大同區玉泉里西寜北路28號
SA103-0006,臺北市大同運動中心,臺北市,大同區,蓬萊里,大龍街51號,體育場館/運動中心,Y,備用,N,N,Y,Y,Y,N,蓬萊里、斯文里、揚雅里、隆和里、民權里,300,1601.69,陳泓維,02-2592-0055#820,楊子豪,02-2570-2330#6458,,臺北市大同區蓬萊里大龍街51號
SA103-0007,臺北市大同區大同國民小學,臺北市,大同區,蓬萊里,大龍街51號,學校,Y,備用,N,N,Y,Y,Y,N,蓬萊里、斯文里、揚雅里,40,189,黃善美,02-25965407#351,許政智,02-25965407#358,,臺北市大同區蓬萊里大龍街51號
SA103-0008,臺北市大同區大橋國民小學,臺北市,大同區,隆和里,重慶北路三段2號,學校,N,備用,N,N,Y,Y,Y,N,景星里、隆和里,196,782,簡琡真,02-25944413#145,陳曉慧,02-25944413#101,,臺北市大同區隆和里重慶北路三段2號
SA103-0009,臺北市大同區大龍國民小學,臺北市,大同區,保安里,哈密街47號,學校,Y,備用,N,N,Y,Y,Y,N,老師里、重慶里、保安里、至聖里,208,833,許乃文,02-25942635#838,劉國兆,02-25942635#888,,臺北市大同區保安里哈密街47號
SA103-0010,臺北市大同區太平國民小學,臺北市,大同區,南芳里,延平北路二段239號,學校,N,備用,N,N,Y,Y,Y,N,延平里、朝陽里、南芳里、永樂里、玉泉里、建功里、建功里,123,728,江信億,02-25532229#830,陳智蕾,02-25532229#801,,臺北市大同區南芳里延平北路二段239號
SA103-0011,臺北市大同區日新國民小學,臺北市,大同區,星明里,太原路151號,學校,Y,備用,N,N,Y,Y,Y,N,建泰里、建明里、光能里、星明里、建功里,137,23468.19,王勝威,02-25584819#312,林裕勝,02-25584819#120,,臺北市大同區星明里太原路151號
SA103-0012,臺北市立民權國民中學,臺北市,大同區,隆和里,重慶北路三段1號,學校,N,備用,N,N,Y,Y,Y,N,景星里、蓬萊里、隆和里、南芳里、大有里、民權里、國順里,30,288,蔡孟谷,02-25931951#130,徐雅鐘,02-25931951#168,,臺北市大同區隆和里重慶北路三段1號
SA103-0013,臺北市大同區永樂國民小學,臺北市,大同區,南芳里,延平北路二段266號,學校,N,備用,N,N,Y,Y,Y,N,大有里、永樂里、南芳里、玉泉里,304,530,許芳瑜,02-25534882#402,林献原,02-25534882#401,,臺北市大同區南芳里延平北路二段266號
SA103-0014,臺北市立成淵高級中學,臺北市,大同區,民權里,承德路二段235號,學校,Y,備用,N,N,Y,Y,Y,N,光能里、雙連里、星明里、民權里,487,1946.45,黃鼎元,02-25531969#150,劉葳蕤,02-25531969#100,,臺北市大同區民權里承德路二段235號
SA103-0015,臺北市大同區明倫高級中學,臺北市,大同區,重慶里,承德路三段336號,學校,Y,備用,N,N,Y,Y,Y,N,重慶里、老師里,70,910,林銘宗,02-25961567#151,洪金英,02-25961567#101,,臺北市大同區重慶里承德路三段336號
SA103-0016,臺北市大同區蓬萊國民小學,臺北市,大同區,星明里,寧夏路35號,學校,Y,備用,N,N,Y,Y,Y,N,光能里、建功里、雙連里、星明里、朝陽里,104,1041.12,張沛森,02-25569835#500,尚漢鼎,02-25569835#660,,臺北市大同區星明里寧夏路35號
SA103-0017,臺北市大同區雙蓮國民小學,臺北市,大同區,民權里,錦西街51號,學校,Y,備用,N,N,Y,Y,Y,N,雙連里、民權里,300,1133,吳希哲,02-25570309#1031,張素花,02-25570309#1001,,臺北市大同區民權里錦西街51號
SA103-0018,臺北市立蘭州國民中學,臺北市,大同區,至聖里,大龍街187巷1號,學校,N,備用,N,N,Y,N,Y,N,至聖里、國慶里、國順里、斯文里、揚雅里、鄰江里、老師里、保安里,34,12000,簡聰敏,02-25918269#500,黃偉鵑,02-25918269#168,,臺北市大同區至聖里大龍街187巷1號
SA103-0019,大同251號綠地,臺北市,大同區,老師里,環河北路與敦煌路口三角綠地,公園/綠地,N,Y,N,N,N,N,N,Y,重慶、保安、至聖、鄰江、斯文、揚雅、國慶、國順、老師、蓬萊、隆和、景星里,152,608,張叡興,02-23329386,張叡興,02-23329386,公燈處:本場域已被高速公路及快速道路交流道切割，基地面積僅剩900平方公尺，另113年底停管處預計設置機車停車場，該地紅磚鋪面挖除與路面齊平，預計增設60-80停車位，建議選擇其他地點作為避難處所。教育局:建請安排大同區公所、消防局、民政局、社會局、工務局、臺大團隊現地會勘，倘確不妥適，則現場另行擇定適宜場地。,臺北市大同區老師里環河北路與敦煌路口三角綠地
SA103-0020,建成公園,臺北市,大同區,光能里,承德路二段35號旁,公園/綠地,Y,Y,N,N,N,Y,N,Y,南芳、民權、雙連、光能、星明、建明、建功、建泰、延平、朝陽、大有、永樂、玉泉里,923,10640,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市大同區光能里承德路二段35號旁
SA103-0021,臺北市市場處大龍市場地下停車場,臺北市,大同區,重慶里,臺北市大同區重慶北路三段347號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,2356,1035,市場處市場科林意潔,02-2550-5220#2146,市場處市場科林意潔,02-2550-5220#2146,,臺北市大同區重慶北路三段347號
SA103-0022,國慶區活動中心,臺北市,大同區,國慶里,臺北市大同區重慶北路3段76號4樓,活動中心,Y,N,N,N,Y,Y,Y,N,國慶里,58,423,林威成,02-25975323#604,林威成,02-25975323#604,,臺北市大同區重慶北路3段76號4樓
SA103-0023,臺北市立圖書館大同分館,臺北市,大同區,老師里,臺北市大同區重慶北路三段318號,圖書館,Y,N,N,N,Y,Y,Y,N,全區,138,552,分館主任：莊正德,02-25943236,分館主任：莊正德,02-25943236,,臺北市大同區重慶北路三段318號
SA103-0024,臺北市立圖書館延平分館,臺北市,大同區,延平里,臺北市大同區保安街47號,圖書館,Y,N,N,N,Y,Y,Y,N,全區,32,200,分館主任：蔡孟峰,02-25528534,分館主任：蔡孟峰,02-25528534,,臺北市大同區保安街47號
SA103-0025,臺北市立圖書館建成分館,臺北市,大同區,星明里,臺北市大同區民生西路198-20號4樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,38,630,分館主任：郭斌達,02-25582320,分館主任：郭斌達,02-25582320,建築物無電梯。,臺北市大同區民生西路198-20號4樓
SA103-0026,臺北轉運站,臺北市,大同區,建明里,臺北市大同區市民大道1段209號,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1125,4500,王旻敬,02-77335888#3269,張俊祥,02-77335888#3234,,臺北市大同區市民大道1段209號
SA104-0001,臺北市立新興國民中學,臺北市,中山區,聚葉里,林森北路511號,學校,Y,Y,N,N,Y,Y,Y,N,集英里、恆安里、新生里、新庄里、新福里、聚盛里、聚葉里、中庄里、康樂里、中山里、中原里、新喜里、晴光里、劍潭里,156,624,張庭芳,02-25714211#501,詹琦斌,02-25714211#101,,臺北市中山區聚葉里林森北路511號
SA104-0002,臺北市立五常國民中學,臺北市,中山區,下埤里,復興北路430巷1號,學校,Y,Y,Y,N,Y,Y,Y,N,下埤里、行政里、行孝里、行仁里,247,1023,黃奕綺,02-25014320#118,林竺諼,02-25014320#311,,臺北市中山區下埤里復興北路430巷1號
SA104-0003,臺北市中山區中山國民小學,臺北市,中山區,恆安里,民權東路一段69號,學校,Y,備用,N,N,Y,Y,Y,N,聚葉里、聚盛里、恆安里、晴光里、新庄里、新生里、新喜里、圓山里、新福里、劍潭里,216,864,謝慶順,02-25914085#8031,翁明達,02-25914085#8010,,臺北市中山區恆安里民權東路一段69號
SA104-0004,榮星花園公園,臺北市,中山區,行仁里,民權東路三段1號,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,3464,65192,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市中山區行仁里民權東路三段1號
SA104-0005,臺北市中山區行政中心大禮堂,臺北市,中山區,行政里,松江路367號10樓,活動中心,Y,備用,N,N,N,Y,Y,N,大佳里、行政里、行仁里、行孝里,84,823.9,李家儀,02-25031369#618,李家儀,02-25031369#618,,臺北市中山區行政里松江路367號10樓
SA104-0006,臺北市中山運動中心,臺北市,中山區,民安里,中山北路二段44巷2號,體育場館/運動中心,N,備用,N,N,Y,N,Y,N,集英里、聚葉里、聚盛里、圓山里,184,1257.21,楊景棠,02-2581-1060#221,丁鳳儀,02-2570-2330#6467,,臺北市中山區民安里中山北路二段44巷2號
SA104-0007,新生公園棒球場,臺北市,中山區,新庄里,新生北路三段105號,體育場館/運動中心,N,備用,N,N,Y,N,N,Y,恆安里、晴光里、圓山里、新庄里、新喜里、新福里、大佳里,60,388.41,陳筱宜,02-25702330#6504,陳筱宜,02-25702330#6504,,臺北市中山區新庄里新生北路三段105號
SA104-0008,臺北市立大同高級中學,臺北市,中山區,中央里,長春路167號,學校,N,備用,N,N,Y,Y,Y,N,中吉里、中央里、朱馥里、松江里、復華里,300,1905,吳榮達,02-25054269#130,柯明樹,02-25054269#102,,臺北市中山區中央里長春路167號
SA104-0009,臺北市中山區大佳國民小學,臺北市,中山區,大佳里,濱江街107號,學校,Y,備用,N,N,Y,Y,Y,N,大佳里,30,120,張云生,02-25035816#170,林光媚,02-25035816#100,,臺北市中山區大佳里濱江街107號
SA104-0010,臺北市立大直高級中學,臺北市,中山區,劍潭里,北安路420號,學校,Y,備用,N,N,Y,Y,Y,N,劍潭里、大直里、大佳里、北安里、成功里、永安里、正得里,300,1800,陳為邦,02-25334017#141,林湧順,02-25334017#111,,臺北市中山區劍潭里北安路420號
SA104-0011,臺北市中山區大直國民小學,臺北市,中山區,大直里,大直街2號,學校,N,備用,N,N,Y,Y,Y,N,大直里、劍潭里、永安里,263,1554.41,鄭凱遙,02-25333953#35,林淑華,02-25333953#66,,臺北市中山區大直里大直街2號
SA104-0013,臺北市中山區中正國民小學,臺北市,中山區,力行里,龍江路62號,學校,N,備用,N,N,Y,Y,Y,N,朱崙里、力行里、朱園里、復華里,250,560,吳思穎,02-25070932#131,黃維瑜,02-25070932#100,,臺北市中山區力行里龍江路62號
SA104-0014,臺北市立五常國民小學,臺北市,中山區,下埤里,五常街16號,學校,Y,備用,N,N,Y,Y,Y,N,下埤里、行政里、行仁里、行孝里、江寧里、江山里,372,962,陳錦如,02-25023416#831,曹曉文,02-25023416#888,,臺北市中山區下埤里五常街16號
SA104-0015,臺北市中山區北安國民中學,臺北市,中山區,劍潭里,明水路325號,學校,Y,備用,N,N,Y,Y,Y,N,圓山里、劍潭里、正得里、大直里、大佳里、永安里、新喜里、晴光里,30,492.1,陳思穎,02-25333888#240,陳玫良,02-2533-3888#210,,臺北市中山區劍潭里明水路325號
SA104-0016,臺北市中山區永安國民小學,臺北市,中山區,永安里,明水路397巷19弄1號,學校,N,備用,N,N,Y,Y,Y,N,永安里、成功里、北安里,1653,6613.44,陳信鴻,02-25335672#230,張文壽,02-25335672#201,,臺北市中山區永安里明水路397巷19弄1號
SA104-0017,臺北市中山區吉林國民小學,臺北市,中山區,中原里,長春路116號,學校,Y,備用,N,N,Y,Y,Y,N,康樂里、中山里、中吉里、中原里、中庄里。,313,356,殷必蕙,02-25219196#850,郭瑞芬,02-25219196#888,,臺北市中山區中原里長春路116號
SA104-0018,臺北市中山區長安國民小學,臺北市,中山區,興亞里,吉林路15號,學校,Y,備用,N,N,Y,Y,Y,N,正守里、正義里、正得里、興亞里、朱園里、民安里、中吉里,600,810,余芊瑢,02-25617600#130,嚴淑珠,02-25617600#100,,臺北市中山區興亞里吉林路15號
SA104-0019,臺北市立長安國民中學,臺北市,中山區,興亞里,松江路70巷11號,學校,Y,備用,N,N,Y,Y,Y,N,力行里、朱崙里、朱園里、興亞里、正義里、正守里、中原里、埤頭里,41,234,張吉元,02-25112382#501,歐陽秀幸,02-25112382#101,,臺北市中山區興亞里松江路70巷11號
SA104-0020,臺北市中山區長春國民小學,臺北市,中山區,中央里,長春路165號,學校,N,備用,N,N,Y,N,Y,N,朱馥里、龍洲里、松江里、中央里、復華里、江山里、江寧里,47,635.55,賴冠今,02-25024366#151,李奕寬,02-25024366#101,,臺北市中山區中央里長春路165號
SA104-0021,臺北市中山區濱江國民小學,臺北市,中山區,金泰里,樂群二路266巷99號,學校,Y,備用,N,N,Y,Y,Y,N,金泰里、成功里,114,3750,吳士愷,02-85021571#1400,吳勝學,02-85021571#1000,,臺北市中山區金泰里樂群二路266巷99號
SA104-0022,臺北市濱江實驗國民中學,臺北市,中山區,金泰里,樂群二路262號,學校,Y,備用,N,N,Y,Y,Y,N,金泰里、北安里、成功里、永安里,100,5626,楊景良,02-85020126#401,陳昫姮,02-85020126#102,,臺北市中山區金泰里樂群二路262號
SA104-0023,臺北市中山區懷生國民小學,臺北市,中山區,埤頭里,安東街16巷2號,學校,Y,備用,N,N,Y,Y,Y,N,埤頭里,30,63,林采眉,02-27710846#801,黃淑茹,02-27710846#100,,臺北市中山區埤頭里安東街16巷2號
SA104-0025,下塔悠(公7)公園,臺北市,中山區,金泰里,"樂群一路旁,基隆河截彎取直範圍內",公園/綠地,N,Y,N,N,N,Y,N,Y,劍潭、大直、北安、永安、成功、金泰,2105,24249,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,"臺北市中山區金泰里樂群一路旁,基隆河截彎取直範圍內"
SA104-0026,華山公園,臺北市,中山區,正得、正守里,市民大道二段,公園/綠地,N,Y,N,N,N,Y,N,Y,正守、正義、正得、民安、康樂、興亞,1271,14646,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市中山區正得、正守里市民大道二段
SA104-0027,金泰(公8)公園,臺北市,中山區,金泰里,"樂群一路旁,基隆河截彎取直範圍內",公園/綠地,N,Y,N,N,N,Y,N,Y,劍潭、大直、北安、永安、成功、金泰,3500,14117,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,"臺北市中山區金泰里樂群一路旁,基隆河截彎取直範圍內"
SA104-0028,明水公園,臺北市,中山區,永安里,北安路538巷1弄1號前,公園/綠地,N,Y,N,N,N,Y,N,Y,劍潭、大直、北安、永安、成功、金泰,868,10002,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市中山區永安里北安路538巷1弄1號前
SA104-0041,中山地下街,臺北市,中山區,民安里,臺北市長安西路52-1號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,3674,11550,臺北捷運公司領班,2550-5600#3223,臺北捷運公司領班,2550-5600#3223,,臺北市中山區民安里臺北市長安西路52-1號B1
SA104-0042,臺北市立中山女子高級中學,臺北市,中山區,力行里,長安東路二段141號,學校,Y,備用,N,N,Y,Y,Y,N,朱園里、埤頭里、朱崙里、力行里、復華里,135,1325,黃冠瑋,02-25073148#500,張云棻,02-25073148#100,,臺北市中山區力行里長安東路二段141號
SA104-0043,臺北市市場處臺北市民族魚市,臺北市,中山區,行孝里,臺北市中山區民族東路410巷2弄18、20號,市場/停車場,Y,N,N,N,Y,Y,N,Y,全區,950,3837.57,市場處批發科袁應興,02-25505220#2212,漁產公司 鄭世維,02-2309-0412,,臺北市中山區民族東路410巷2弄18、20號
SA104-0044,松江南京站,臺北市,中山區,中吉里,臺北市中山區松江路126號B1,捷運站體,Y,N,N,N,Y,Y,Y,N,全區,1963,7852,臺北捷運公司值班站長,25505600#5172,臺北捷運公司值班站長,25505600#5172,,臺北市中山區松江路126號B1
SA104-0045,花博公園圓山園區,臺北市,中山區,圓山里,"玉門街1號.(玉泉街以東,中山北路以西,酒泉街以北)",公園/綠地,Y,Y,N,N,N,Y,N,Y,圓山、新庄、晴光、恆安、集英、聚葉、聚盛、中山,13517,155762,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,"臺北市中山區圓山里玉門街1號.(玉泉街以東,中山北路以西,酒泉街以北)"
SA104-0046,臺北市市場處長春市場地下停車場,臺北市,中山區,龍洲里,臺北市中山區長春路299號1樓,市場/停車場,N,N,N,N,Y,Y,Y,N,全區,200,800,市場處市場科黃聖琳,02-2550-5220#2111,市場處市場科黃聖琳,02-2550-5220#2111,,臺北市中山區長春路299號1樓
SA104-0047,臺北市立美術館,臺北市,中山區,圓山里,臺北市中山區中山北路181號,藝術中心,N,N,N,N,Y,Y,Y,Y,圓山里,366,1465.34,洪晧源約僱技士,02-25957656#514,洪晧源約僱技士,02-25957656#514,,臺北市中山區中山北路181號
SA104-0048,臺北市立圖書館大直分館,臺北市,中山區,大直里,臺北市中山區大直街25號3-5樓,圖書館,N,N,N,N,Y,Y,Y,N,大直里,180,893,分館主任：林盈潔,02-25336535,分館主任：林盈潔,02-25336535,,臺北市中山區大直街25號3-5樓
SA104-0049,臺北市立圖書館中山分館,臺北市,中山區,行政里,臺北市中山區松江路367號8樓,圖書館,Y,N,N,N,Y,Y,Y,N,全區,46,188,分館主任：高庭萱,02-25026442,分館主任：高庭萱,02-25026442,,臺北市中山區松江路367號8樓
SA104-0050,臺北市立圖書館長安分館,臺北市,中山區,民安里,臺北市中山區長安西路3號4樓,圖書館,N,N,N,N,Y,Y,Y,N,全區,49,345,分館主任：郭斌達,02-25625540,分館主任：郭斌達,02-25625540,,臺北市中山區長安西路3號4樓
SA104-0051,臺北市市場處臺北市第二果菜市場,臺北市,中山區,行孝里,臺北市中山區民族東路336號,市場/停車場,Y,N,N,N,Y,Y,Y,N,全區,5063,20568,市場處批發科陳靖芯,02-2550-5220#2208,農產公司 楊鎮浯,02-2516-0028,,臺北市中山區民族東路336號
SA105-0001,臺北市立民生國民中學,臺北市,松山區,新東里,新東街30巷1號,學校,Y,Y,N,N,Y,Y,Y,N,三民里、莊敬里、富錦里、富泰里、新東里、新益里,161,644,陳梅芬,02-27653433#300,高敏慧,02-27653433#111,活動中心3樓,臺北市松山區新東里新東街30巷1號
SA105-0002,臺北市松山區三民國民小學,臺北市,松山區,莊敬里,民權東路五段1號,學校,Y,Y,N,N,Y,Y,Y,N,莊敬里、新益里、富錦里、新東里,140,558.6,官聖政,02-27646080#231,羅永治,02-27646080#299,,臺北市松山區莊敬里民權東路五段1號
SA105-0003,臺北市立敦化國民中學,臺北市,松山區,中正里,南京東路三段300號,學校,Y,備用,N,N,Y,Y,Y,N,中華里、中正里、中崙里、吉仁里、美仁里、福成里、敦化里、復源里、松基里、復建里,253,1012,鄭忠興,02-87717890#250,周婉琦,02-87717890#611,活動中心4樓,臺北市松山區中正里南京東路三段300號
SA105-0004,臺北市松山區民生國民小學,臺北市,松山區,中華里,敦化北路199巷18號,學校,Y,備用,N,N,Y,Y,Y,N,龍田里、東勢里、東昌里、中華里、介壽里、精忠里,126,504,苗振華,02-27122452#830,楊玲珠,02-27122452#880,,臺北市松山區中華里敦化北路199巷18號
SA105-0005,民權公園,臺北市,松山區,東榮里,民權東路四段、民權國小附近,公園/綠地,Y,Y,N,N,N,Y,N,Y,全區,2465,27458,謝榮倫,02-25850192#222,楊國瑜,02-25850192#201,,臺北市松山區東榮里民權東路四段、民權國小附近
